episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
126,21.04594737481679,-61.42672157660247,153,133.56062755086063,0.0003,1,dqn_learning_rate_low_seed1,0.531750826943791,16602,14.535394778017137
127,-3.8548469633070397,-60.0894221085965,166,103.25281493778688,0.0003,1,dqn_learning_rate_low_seed1,0.5290920728090721,16768,32.856252468445085
128,-70.14203759424905,-59.98988748621725,687,116.52032492254499,0.0003,1,dqn_learning_rate_low_seed1,0.5264466124450268,17455,12.950014184992593
129,-155.1620833061261,-61.66193062602222,770,120.10262554218242,0.0003,1,dqn_learning_rate_low_seed1,0.5238143793828016,18225,9.828288840798095
130,-52.73079452353613,-61.6598004742591,149,96.22614018229031,0.0003,1,dqn_learning_rate_low_seed1,0.5211953074858876,18374,34.98385206580554
131,-81.13513248957511,-61.8375815041802,146,95.64862188737686,0.0003,1,dqn_learning_rate_low_seed1,0.5185893309484582,18520,33.43500377496083
132,-0.6421832118347481,-57.87998165077663,143,157.90637783570722,0.0003,1,dqn_learning_rate_low_seed1,0.5159963842937159,18663,34.93184630194707
133,-83.33975146650356,-57.885046992668514,1000,115.02218686890602,0.0003,1,dqn_learning_rate_low_seed1,0.5134164023722473,19663,22.036902118567557
134,-23.0612108661156,-52.822447745319266,148,89.24097144281542,0.0003,1,dqn_learning_rate_low_seed1,0.510849320360386,19811,25.615459559714957
135,-152.54121022523128,-54.79574166458945,150,81.9872289609909,0.0003,1,dqn_learning_rate_low_seed1,0.5082950737585841,19961,16.737293399042553
136,-101.2286901349216,-55.25033124904442,121,68.94085880744555,0.0003,1,dqn_learning_rate_low_seed1,0.5057535983897912,20082,38.106393831747546
137,15.543379983152434,-54.63772186330593,128,88.19225258007646,0.0003,1,dqn_learning_rate_low_seed1,0.5032248303978422,20210,49.085194564634754
138,17.034148569070084,-53.532130992194396,159,82.44976349746656,0.0003,1,dqn_learning_rate_low_seed1,0.500708706245853,20369,24.485968237337858
139,-16.02252728868551,-52.39923357723893,135,119.00758423275418,0.0003,1,dqn_learning_rate_low_seed1,0.4982051627146237,20504,42.85074003364729
140,-128.94708222053617,-54.09556467344946,245,111.07309854079266,0.0003,1,dqn_learning_rate_low_seed1,0.49571413690105054,20749,12.883535148772767
141,-52.1648079647899,-54.78803938676139,635,92.62639219216474,0.0003,1,dqn_learning_rate_low_seed1,0.4932355662165453,21384,36.331333523100994
142,-51.12240129490176,-55.39835063465232,131,126.32537049919594,0.0003,1,dqn_learning_rate_low_seed1,0.4907693883854626,21515,44.77837985754013
143,-83.27614926092073,-55.31692334917453,103,57.74272601812788,0.0003,1,dqn_learning_rate_low_seed1,0.4883155414435353,21618,32.21395254135132
144,-46.23277515599227,-54.28352148594728,1000,106.56293743157387,0.0003,1,dqn_learning_rate_low_seed1,0.4858739637363176,22618,26.98326714333956
145,13.06058344766545,-53.40842673264479,143,101.73752660851379,0.0003,1,dqn_learning_rate_low_seed1,0.483444593917636,22761,47.74369865888125
146,2.64506669370067,-49.298025802116214,76,70.64764376690513,0.0003,1,dqn_learning_rate_low_seed1,0.4810273709480478,22837,24.349289375192978
147,36.54594369698668,-46.84521268117802,132,101.00248889489608,0.0003,1,dqn_learning_rate_low_seed1,0.47862223409330756,22969,58.40462967711435
148,-1.833005750280151,-45.377601386104395,139,144.05408204202172,0.0003,1,dqn_learning_rate_low_seed1,0.47622912292284103,23108,48.68975614831931
149,-77.65337817019159,-45.605197184486116,157,110.4499790744417,0.0003,1,dqn_learning_rate_low_seed1,0.4738479773082268,23265,38.32125216242911
150,-68.7688227953805,-47.754232244149115,107,116.62332117223293,0.0003,1,dqn_learning_rate_low_seed1,0.47147873742168567,23372,44.65998466008089
151,-32.52745460109557,-47.6741591792989,242,121.37545002590527,0.0003,1,dqn_learning_rate_low_seed1,0.46912134373457726,23614,63.79748658583326
152,-3.2339640699806678,-47.116352347147966,1000,101.42163541984559,0.0003,1,dqn_learning_rate_low_seed1,0.46677573701590436,24614,40.27505821110133
153,-49.35705403462943,-46.980827841830276,238,112.13184115165421,0.0003,1,dqn_learning_rate_low_seed1,0.46444185833082485,24852,54.471199218070865
154,-32.45315295879651,-46.37116982353381,127,62.596413424634555,0.0003,1,dqn_learning_rate_low_seed1,0.46211964903917074,24979,31.48260009661317
155,-174.2598632088222,-48.21810393896129,164,114.86235506214747,0.0003,1,dqn_learning_rate_low_seed1,0.4598090507939749,25143,15.03684451565685
156,-31.22119915816564,-47.357490553426125,1000,124.78800768780708,0.0003,1,dqn_learning_rate_low_seed1,0.457510005540005,26143,47.247826922090816
157,-20.75707566543936,-46.38528578518117,103,163.61759439486903,0.0003,1,dqn_learning_rate_low_seed1,0.45522245551230495,26246,62.249118517946314
158,-54.66240296354758,-46.188292414485005,128,82.83040440827608,0.0003,1,dqn_learning_rate_low_seed1,0.4529463432347434,26374,31.44564424088744
159,-32.14998660473132,-46.74607448829195,1000,107.13558306121826,0.0003,1,dqn_learning_rate_low_seed1,0.4506816115185697,27374,41.39319445170615
160,18.55406192236934,-46.32425437672146,1000,103.6735165309906,0.0003,1,dqn_learning_rate_low_seed1,0.4484282034609769,28374,52.483440411006306
161,38.46802756388755,-44.12704631373887,1000,87.80351746332646,0.0003,1,dqn_learning_rate_low_seed1,0.446186062443672,29374,38.35433855864489
162,16.738391835039465,-41.34162520044139,132,90.85004565571293,0.0003,1,dqn_learning_rate_low_seed1,0.4439551321314536,29506,64.62190452218056
163,13.505069413338532,-40.961561393281634,170,80.73786193483016,0.0003,1,dqn_learning_rate_low_seed1,0.4417353564707963,29676,51.37735289774443
164,-56.08210445755151,-42.59413365261679,133,75.70971780612057,0.0003,1,dqn_learning_rate_low_seed1,0.43952667968844233,29809,61.66345836745726
165,-89.02046331730946,-42.87088903766969,102,142.2619293904772,0.0003,1,dqn_learning_rate_low_seed1,0.43732904629000013,29911,64.42235787556722
166,-38.132202955067356,-43.74214301930318,1000,89.41071850466729,0.0003,1,dqn_learning_rate_low_seed1,0.4351424010585501,30911,49.754101218406724
167,-76.51137063121814,-43.353571385731996,287,75.32592595080466,0.0003,1,dqn_learning_rate_low_seed1,0.43296668905325736,31198,29.292374025111737
168,-12.180040128958666,-42.71349414858014,134,90.36782968933903,0.0003,1,dqn_learning_rate_low_seed1,0.43080185560799106,31332,68.32651034928858
169,-14.836142093648453,-42.33348267330505,1000,94.3823563771248,0.0003,1,dqn_learning_rate_low_seed1,0.4286478463299511,32332,50.12947154664911
170,-51.17074494352564,-40.615849900039564,1000,84.76276872277259,0.0003,1,dqn_learning_rate_low_seed1,0.42650460709830135,33332,50.70403120740312
171,-245.59255327952943,-44.564369805695996,189,96.19482547770102,0.0003,1,dqn_learning_rate_low_seed1,0.42437208406280985,33521,16.508321456611156
172,-234.78145832613416,-48.92657671303038,350,111.5648188488824,0.0003,1,dqn_learning_rate_low_seed1,0.4222502236424958,33871,37.67862918097821
173,27.471818398946468,-47.39047521646157,1000,84.84796905326843,0.0003,1,dqn_learning_rate_low_seed1,0.42013897252428334,34871,46.584463235808585
174,55.37451211880304,-45.63970150622521,202,104.38273717625306,0.0003,1,dqn_learning_rate_low_seed1,0.4180382776616619,35073,82.85576285303166
175,-17.27077939635832,-44.801439049196226,91,114.46100407642322,0.0003,1,dqn_learning_rate_low_seed1,0.4159480862733536,35164,77.28219606521282
176,0.7364686294804983,-45.207628624102945,99,70.88636511504048,0.0003,1,dqn_learning_rate_low_seed1,0.41386834584198684,35263,56.430593119426206
177,-77.24830814085982,-46.67549784765401,192,79.4231907427311,0.0003,1,dqn_learning_rate_low_seed1,0.4117990041127769,35455,60.69579954624176
178,-27.2409849452234,-45.817476794673496,1000,93.94190213942528,0.0003,1,dqn_learning_rate_low_seed1,0.40974000909221303,36455,52.54233366303185
